filter_name,window,horizon,before_sample_count,after_sample_count,filtered_out_count,hold_p10_before,hold_p10_after,hold_p5_before,hold_p5_after,hold_p1_before,hold_p1_after,median_before,median_after,false_quarantine_rate,missed_profit_rate,opportunity_retention_rate,loss_avoidance_rate,worst_pool_contribution_after,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,verdict
enter_HEALTHY_or_STABLE_FEE,recent_24h,30m,364,213,151,-0.0127688574698544,-0.018696449205711,-0.0486667077849394,-0.213526815458452,-0.625492051911528,-0.600187066505452,0.00915533101139426,0.009391141376202304,0.847682119205298,0.43389830508474575,0.5661016949152542,0.3508771929824561,0.8613554916277837,-0.005927591735856601,-0.1648601076735126,0.025304985406076064,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_48h,15m,384,143,241,-0.0116552557445478,-0.0173470367651431,-0.481548892180745,-0.21426872727188,-1.12004626284609,-0.821288732717139,0.00548292493215453,0.0062632849853258,0.8796680497925311,0.6309523809523809,0.36904761904761907,0.6041666666666666,0.5150448136472364,-0.005691781020595301,0.26728016490886497,0.2987575301289511,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_48h,1h,384,143,241,-0.455456431600104,-0.473680974448602,-0.783297563735402,-0.723851617719587,-1.45340688818238,-0.788483915951138,0.0201756570271758,0.0162793237768233,0.8298755186721992,0.6600660066006601,0.33993399339933994,0.5061728395061729,0.6155646007844552,-0.018224542848498004,0.0594459460158151,0.6649229722312421,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_48h,2h,384,143,241,-0.67771596021677,-0.649040466177108,-0.944056937956669,-0.783588087075274,-1.75913868220465,-0.952623875816029,0.041449636408993046,0.030610957088623,0.7759336099585062,0.6426116838487973,0.35738831615120276,0.5806451612903226,0.5522011507773208,0.028675494039662075,0.16046885088139495,0.8065148063886209,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_48h,30m,384,143,241,-0.0758775633347024,-0.114146207602452,-0.556514705411918,-0.47108724091746,-1.37850382247383,-0.808533197184666,0.01071891319506455,0.0100101979275079,0.8755186721991701,0.6413373860182371,0.3586626139817629,0.5454545454545454,0.5655398106804659,-0.038268644267749605,0.08542746449445804,0.569970625289164,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_72h,15m,384,111,273,-0.057636420299268,-0.057636420299268,-0.513709483485225,-0.155096719218819,-11.1884097801967,-0.487939415868555,0.0035833386219704553,0.00468347911756262,0.7838827838827839,0.7278911564625851,0.272108843537415,0.6555555555555556,0.8253262417761873,0.0,0.35861276426640604,10.700470364328146,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_72h,1h,384,111,273,-0.313062816213954,-0.210947993440793,-2.44506947025506,-0.480280865465425,-11.1500794635119,-2.75210625108692,0.00905901882775156,0.019229622620842,0.7216117216117216,0.7323420074349443,0.26765799256505574,0.6608695652173913,0.9186831063964791,0.10211482277316097,1.964788604789635,8.397973212424981,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_72h,2h,384,111,273,-0.508521633734337,-0.490787014145456,-2.7790014233184,-2.41771562786461,-11.2625424398271,-2.80159946794192,0.0194048758539589,0.0292245059826112,0.706959706959707,0.7228464419475655,0.27715355805243447,0.6837606837606838,0.9529558334971714,0.017734619588881007,0.36128579545379,8.460942971885181,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_72h,30m,384,111,273,-0.19447636302411,-0.194004303731862,-1.29898534176133,-0.31684503582688,-11.1804485622206,-2.43951501797563,0.00555296295597524,0.00736084336612848,0.7435897435897436,0.7328519855595668,0.26714801444043323,0.6542056074766355,0.8179028942185327,0.00047205929224800047,0.98214030593445,8.74093354424497,PROMISING
enter_HEALTHY_or_STABLE_FEE,recent_7d,15m,1361,528,833,-0.0123587798767234,-0.00891350665958027,-0.455062681790212,-0.231425335119857,-2.29535055308959,-1.02987511885327,0.005460801596290585,0.00418222467911892,0.8475390156062425,0.62533215234721,0.3746678476527901,0.5458515283842795,0.6898132653603085,0.0034452732171431303,0.22363734667035498,1.2654754342363201,PROMISING
