variant_name,window,horizon,capacity_usd,raw_sample_count,valid_sample_count,retained_sample_count,filtered_out_count,invalid_count,opportunity_retention_rate,data_quality_distribution,fee_proxy_coverage,exit_depth_coverage,leakage_risk_distribution
exit_depth_soft_20usd,recent_24h,1h,20,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,1h,50,320,300,0,300,20,0.0,"{""invalid"": 20, ""ok"": 300}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,2h,10,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,2h,20,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,2h,50,320,284,0,284,36,0.0,"{""invalid"": 36, ""ok"": 284}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,30m,10,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,30m,20,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_24h,30m,50,320,308,0,308,12,0.0,"{""invalid"": 12, ""ok"": 308}",1.0,1.0,"{""LOW"": 320}"
exit_depth_soft_20usd,recent_48h,15m,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,15m,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,15m,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,1h,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,1h,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,1h,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,2h,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,2h,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,2h,50,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,30m,10,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
exit_depth_soft_20usd,recent_48h,30m,20,384,384,0,384,0,0.0,"{""ok"": 384}",1.0,1.0,"{""LOW"": 384}"
